left_behind;Bienvenido amigo a esta página;¿Queréis nuevas experiencias? Pues aquí no, aquí estamos para ser productivos;Mueve el culo y ponte ha hacer algo
planned;Esta guay mirar las redes sociales, ¿no? Mejor estarías haciendo tus tareas acumuladas;En esta app hay easterEggs, búscalos;La app también esta disponible en inglés´y pronto en checo
index_no_tasks_placeholder;Crea una tarea;Experimenta y descubre;Filtra las tareas
index_planned_popup;friendly;neutral;aggressive
index_left_behind_popup;friendly;neutral;aggressive
